User_id,time,action,destination,hotel
2.02E+18,0:03:44,Search,Mykonos Island,
2.02E+18,0:00:09,Search,Greece,
2.02E+18,0:00:24,Search,Greece,
2.02E+18,0:04:12,Homepage,,
2.02E+18,0:04:18,Homepage,,
2.02E+18,0:03:52,Click,Freiburg,Ringhotel Zum Roten Bären
2.02E+18,0:09:42,Click,Freiburg,Ringhotel Zum Roten Bären
2.02E+18,0:05:50,Click,Freiburg,Ringhotel Zum Roten Bären
2.02E+18,1:32:21,Click,Capo Vaticano,Villaggio Baia D' Ercole
2.02E+18,1:28:08,Click,Capo Vaticano,La Conchiglia
2.02E+18,1:34:41,Click,Capo Vaticano,Punta Faro
2.02E+18,0:31:36,Homepage,,
2.02E+18,0:03:44,Click,Capo Vaticano,Sunshine Club
2.02E+18,1:36:01,Click,Capo Vaticano,Esmeraldo
2.02E+18,0:32:38,Homepage,,
2.02E+18,0:32:28,Homepage,,
2.02E+18,0:02:08,Click,Tarifa,Tres Mares
2.02E+18,1:05:11,Click,Caleta de Fuste,Barceló Castillo Club Premium
2.02E+18,1:07:03,Click,Caleta de Fuste,Barceló Castillo Club Premium
2.02E+18,0:01:20,Click,Tarifa,Paloma
2.02E+18,1:08:07,Click,Caleta de Fuste,Barceló Castillo Club Premium
2.02E+18,0:14:59,Click,Øyer,Quality Resort Hafjell
2.02E+18,0:09:52,Click,Hamar,Hamar  Vikingskipet
2.02E+18,0:12:42,Click,Øyer,Quality Resort Hafjell
2.02E+18,0:10:36,Click,Hamar,Rica Hamar
2.02E+18,0:00:52,Click,Lillehammer,Rica Victoria Lillehammer
2.02E+18,0:00:02,Click,Lillehammer,Nordseter Fjellstue
2.02E+18,0:00:08,Search,United Kingdom,
2.02E+18,0:00:03,Search,United Kingdom,
2.02E+18,0:01:15,Click,Liverpool,Epic Serviced
2.02E+18,0:04:31,Search,Algarve,
2.02E+18,0:04:07,Search,Algarve,
2.02E+18,0:00:11,Click,Algarve,Alcazar Beach & Spa
2.02E+18,0:04:08,Search,Algarve,
2.02E+18,0:03:06,Click,Baltic Sea,Carat
2.02E+18,0:01:47,Search,Baltic Sea,
2.02E+18,0:00:28,Search,Baltic Sea,
2.02E+18,0:05:39,Click,Maspalomas,Hotel Riviera Marina
2.02E+18,0:03:09,Click,Maspalomas,Dunas Suites & Villas Resort
2.02E+18,0:00:18,Click,Maspalomas,Mogán Princess
